answer;real;error;
4.38202663467388031648e+00;4.38202663467388120466e+00;8.88178419700125232339e-16;
4.49980967033026590940e+00;4.49980967033026502122e+00;8.88178419700125232339e-16;
4.60517018598809180219e+00;4.60517018598809180219e+00;0.00000000000000000000e+00;
4.70048036579241657051e+00;4.70048036579241657051e+00;0.00000000000000000000e+00;
4.78749174278204669974e+00;4.78749174278204581157e+00;8.88178419700125232339e-16;
4.86753445045558130744e+00;4.86753445045558219562e+00;8.88178419700125232339e-16;
4.94164242260930386408e+00;4.94164242260930386408e+00;0.00000000000000000000e+00;
5.01063529409625552091e+00;5.01063529409625552091e+00;0.00000000000000000000e+00;
5.07517381523382749009e+00;5.07517381523382660191e+00;8.88178419700125232339e-16;
5.13579843705026117817e+00;5.13579843705026206635e+00;8.88178419700125232339e-16;
5.19295685089020953029e+00;5.19295685089021041847e+00;8.88178419700125232339e-16;
5.24702407216048705152e+00;5.24702407216048616334e+00;8.88178419700125232339e-16;
5.29831736654803808761e+00;5.29831736654803631126e+00;1.77635683940025046468e-15;
4.49980967033026590940e+00;4.49980967033026502122e+00;8.88178419700125232339e-16;
4.60517205896370640517e+00;4.60517018598809180219e+00;1.87297561460297856684e-06;
4.70048116439208030215e+00;4.70048036579241657051e+00;7.98599663731636155717e-07;
4.78749241839943806553e+00;4.78749174278204581157e+00;6.75617392253968773730e-07;
4.86753490893232410031e+00;4.86753445045558219562e+00;4.58476741904689788498e-07;
4.94164276867386131897e+00;4.94164242260930386408e+00;3.46064557454894838884e-07;
5.01063555369299251652e+00;5.01063529409625552091e+00;2.59596736995604260301e-07;
5.07517401544095925203e+00;5.07517381523382660191e+00;2.00207132650120911421e-07;
5.13579859321061782396e+00;5.13579843705026206635e+00;1.56160355757606339466e-07;
5.19295697589580562692e+00;5.19295685089021041847e+00;1.25005595208449449274e-07;
5.24702416791921955053e+00;5.24702407216048616334e+00;9.57587333871856571932e-08;
5.29831746360536026685e+00;5.29831736654803631126e+00;9.70573239555960753933e-08;
5.34710753071746847098e+00;5.34710753071746847098e+00;0.00000000000000000000e+00;
4.60517018598809269037e+00;4.60517018598809180219e+00;8.88178419700125232339e-16;
4.70048116439207852579e+00;4.70048036579241657051e+00;7.98599661955279316317e-07;
4.78749211645634176193e+00;4.78749174278204581157e+00;3.73674295950365831231e-07;
4.86753477217338215155e+00;4.86753445045558219562e+00;3.21717799955933969613e-07;
4.94164265162097748885e+00;4.94164242260930386408e+00;2.29011673624768263835e-07;
5.01063547169367407008e+00;5.01063529409625552091e+00;1.77597418549169105972e-07;
5.07517395232867141175e+00;5.07517381523382660191e+00;1.37094844809837468347e-07;
5.13579854523580614512e+00;5.13579843705026206635e+00;1.08185544078764905862e-07;
5.19295693704179672778e+00;5.19295685089021041847e+00;8.61515863093131883943e-08;
